SUBURB_NAME,DATE_MONTH,avg_land_value,property_count,DATE_MONTH_QDATE,property_count_int,avg_land_value_decimal
BARANGAROO,2019-07-01,"61507905.444444433","27",2019/07/01,"27",61507905.44
BARANGAROO,2020-07-01,"57216515.074074075","27",2020/07/01,"27",57216515.07
BARANGAROO,2018-07-01,"52233290.8","15",2018/07/01,"15",52233290.80
WILPINJONG,2019-07-01,"43932000","3",2019/07/01,"3",43932000.00
WILPINJONG,2018-07-01,"43386333.333333328","3",2018/07/01,"3",43386333.33
BARANGAROO,2017-07-01,"41589301.333333328","15",2017/07/01,"15",41589301.33
WILPINJONG,2020-07-01,"40921000","3",2020/07/01,"3",40921000.00
BARANGAROO,2016-07-01,"30681698.64","25",2016/07/01,"25",30681698.64
CADIA,2019-07-01,"24435133.333333336","6",2019/07/01,"6",24435133.33
CADIA,2020-07-01,"24435133.333333336","6",2020/07/01,"6",24435133.33
CADIA,2017-07-01,"23124733.333333328","6",2017/07/01,"6",23124733.33
CADIA,2016-07-01,"23093568","6",2016/07/01,"6",23093568.00
CADIA,2018-07-01,"22802300","6",2018/07/01,"6",22802300.00
SYDNEY,2019-07-01,"20617514.297721919","1273",2019/07/01,"1273",20617514.30
PORT BOTANY,2020-07-01,"20600058.62068966","29",2020/07/01,"29",20600058.62
PORT BOTANY,2019-07-01,"19668031.034482758","29",2019/07/01,"29",19668031.03
SYDNEY,2018-07-01,"18985586.785306126","1225",2018/07/01,"1225",18985586.79
PORT BOTANY,2017-07-01,"18561446.153846152","26",2017/07/01,"26",18561446.15
SYDNEY,2020-07-01,"18210887.589159478","1273",2020/07/01,"1273",18210887.59
PORT BOTANY,2018-07-01,"18013710.344827585","29",2018/07/01,"29",18013710.34
PORT BOTANY,2016-07-01,"17236331.034482755","29",2016/07/01,"29",17236331.03
WENTWORTH POINT,2017-07-01,"16086857.307692306","65",2017/07/01,"65",16086857.31
MOORE PARK,2020-07-01,"16086250","28",2020/07/01,"28",16086250.00
MOORE PARK,2019-07-01,"16084357.142857144","28",2019/07/01,"28",16084357.14
SYDNEY,2017-07-01,"15419806.29916667","1200",2017/07/01,"1200",15419806.30
MOORE PARK,2018-07-01,"15244680.000000004","25",2018/07/01,"25",15244680.00
JEWS LAGOON,2020-07-01,"14604454.545454545","11",2020/07/01,"11",14604454.55
WENTWORTH POINT,2018-07-01,"14595891.333333336","75",2018/07/01,"75",14595891.33
WENTWORTH POINT,2020-07-01,"14516916.250000002","80",2020/07/01,"80",14516916.25
WENTWORTH POINT,2019-07-01,"14281523.124999998","80",2019/07/01,"80",14281523.12
SYDNEY,2016-07-01,"14027647.754244136","1237",2016/07/01,"1237",14027647.75
MOORE PARK,2016-07-01,"13748640","25",2016/07/01,"25",13748640.00
JEWS LAGOON,2019-07-01,"13268545.454545455","11",2019/07/01,"11",13268545.45
WENTWORTH POINT,2016-07-01,"13171813.12658228","79",2016/07/01,"79",13171813.13
POINT PIPER,2020-07-01,"13059194.513888888","288",2020/07/01,"288",13059194.51
HAYMARKET,2019-07-01,"12754577.2659176","267",2019/07/01,"267",12754577.27
POINT PIPER,2018-07-01,"12580512.561403513","285",2018/07/01,"285",12580512.56
HAYMARKET,2020-07-01,"12552633.820224715","267",2020/07/01,"267",12552633.82
HAYMARKET,2018-07-01,"12183090.416666668","264",2018/07/01,"264",12183090.42
POINT PIPER,2017-07-01,"12152323.028169014","284",2017/07/01,"284",12152323.03
MACQUARIE PARK,2019-07-01,"12147210.317460317","378",2019/07/01,"378",12147210.32
TALLAWONG,2018-07-01,"12052600","5",2018/07/01,"5",12052600.00
POINT PIPER,2019-07-01,"12042017.013888886","288",2019/07/01,"288",12042017.01
MACQUARIE PARK,2020-07-01,"11841141.902116403","378",2020/07/01,"378",11841141.90
ROOKWOOD,2017-07-01,"11614500","4",2017/07/01,"4",11614500.00
ROOKWOOD,2018-07-01,"11614500","4",2018/07/01,"4",11614500.00
ELIZABETH BAY,2020-07-01,"11464335.327956989","186",2020/07/01,"186",11464335.33
ELIZABETH BAY,2019-07-01,"11062830.591397844","186",2019/07/01,"186",11062830.59
MOORE PARK,2017-07-01,"11040166.666666668","18",2017/07/01,"18",11040166.67
ROOKWOOD,2016-07-01,"10970250","4",2016/07/01,"4",10970250.00
POINT PIPER,2016-07-01,"10928234.701754378","285",2016/07/01,"285",10928234.70
ELIZABETH BAY,2018-07-01,"10771845.228260871","184",2018/07/01,"184",10771845.23
SINGLETON MILITARY AREA,2020-07-01,"10490000","2",2020/07/01,"2",10490000.00
SYDNEY OLYMPIC PARK,2019-07-01,"10449442.859872613","157",2019/07/01,"157",10449442.86
SINGLETON MILITARY AREA,2019-07-01,"10425000","2",2019/07/01,"2",10425000.00
SYDNEY OLYMPIC PARK,2020-07-01,"10409161.783439489","157",2020/07/01,"157",10409161.78
CHULLORA,2020-07-01,"10351393.333333334","60",2020/07/01,"60",10351393.33
CHULLORA,2019-07-01,"10338846.666666666","60",2019/07/01,"60",10338846.67
ROOKWOOD,2019-07-01,"10296000","4",2019/07/01,"4",10296000.00
ROOKWOOD,2020-07-01,"10296000","4",2020/07/01,"4",10296000.00
WARKWORTH,2019-07-01,"10043806.376811594","69",2019/07/01,"69",10043806.38
ELIZABETH BAY,2017-07-01,"10041591.759562841","183",2017/07/01,"183",10041591.76
SINGLETON MILITARY AREA,2018-07-01,"9985000","2",2018/07/01,"2",9985000.00
CHULLORA,2017-07-01,"9974186.2068965528","58",2017/07/01,"58",9974186.21
CHULLORA,2018-07-01,"9850746.6666666642","60",2018/07/01,"60",9850746.67
TALLAWONG,2017-07-01,"9808000","5",2017/07/01,"5",9808000.00
CHULLORA,2016-07-01,"9779846.6666666679","60",2016/07/01,"60",9779846.67
